testname,N,ds,average_comparisons,max_comparisons,average_pointer_operations,max_pointer_operations,average_tree_height,max_tree_height,average_cost,max_cost
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,102057,151,204113,41,32438,225,306170
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,159,159,359,37,52,229,518
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,149,139,305,37,56,206,454
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,121047,151,242089,43,25418,225,363136
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,153,159,352,37,53,229,505
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,171,139,356,37,53,206,527
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,176166,151,352331,44,25167,225,528497
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,152,159,344,37,56,229,496
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,173,139,358,36,53,206,531
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,94574,151,189147,46,51207,225,283721
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,153,159,351,37,54,229,504
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,157,139,322,36,53,206,478
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,85313,151,170625,50,35627,224,255938
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,153,159,350,37,54,229,503
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,151,139,312,37,57,206,463
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,59006,151,118007,50,44066,224,177013
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,159,159,358,37,54,229,517
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,151,139,314,37,55,206,465
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,99537,151,199073,47,37345,225,298610
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,172,159,390,37,54,229,562
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,151,139,312,37,54,206,463
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,107419,151,214837,47,57932,225,322256
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,154,159,352,37,55,229,506
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,149,139,310,36,53,206,459
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,91368,151,182735,45,33897,225,274103
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,158,159,357,37,56,229,515
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,143,139,301,37,58,206,444
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,117009,151,234017,45,26573,224,351026
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,154,159,352,37,59,229,506
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,156,139,321,36,55,206,477
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,182368,151,364735,45,26053,225,547103
"random_keys_insertion_and_deletion_inserts",60000,"Splay",70,153,159,350,37,53,229,503
"random_keys_insertion_and_deletion_deletes",60000,"Splay",67,172,139,364,36,55,206,536
"ascending_keys_insertion_and_deletion_inserts",60000,"Splay",4,4,9,9,30001,60000,13,13
"ascending_keys_insertion_and_deletion_deletes",60000,"Splay",73,122098,151,244195,46,25117,224,366293
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,160,161,368,38,56,233,528
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,150,141,320,37,52,209,470
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,229429,154,458857,42,32776,229,688286
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,152,161,343,38,54,232,495
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,177,141,368,37,57,209,545
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,233726,154,467447,47,67458,229,701173
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,159,161,358,38,58,232,517
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,156,141,322,37,57,209,478
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,209247,154,418489,45,61282,228,627736
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,153,161,351,38,54,233,504
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,152,141,319,37,54,209,471
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,154696,153,309387,45,25803,228,464083
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,153,161,350,38,57,233,503
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,164,141,348,37,53,209,512
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,124401,154,248801,46,34459,228,373202
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,151,161,344,38,55,233,495
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,158,141,328,37,55,209,486
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,106684,154,213367,48,64992,228,320051
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,158,161,359,38,55,233,517
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,151,141,314,37,54,209,465
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,120978,154,241955,43,38557,228,362933
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,159,161,359,38,56,233,518
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,156,141,326,37,56,210,482
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,120614,154,241227,49,57747,228,361841
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,153,161,351,38,54,233,504
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,159,141,331,37,54,210,490
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,231535,154,463065,41,33077,229,694600
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,153,161,351,37,57,233,504
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,144,141,302,37,56,210,446
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,92075,154,184149,47,43694,228,276224
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,146,161,335,38,55,233,481
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,149,141,310,37,56,210,459
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,164917,154,329833,43,23562,228,494750
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,165,161,372,38,54,233,537
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,158,141,325,37,55,210,483
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,151294,154,302583,43,26777,228,453877
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,165,161,374,38,56,233,539
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,170,141,354,37,56,210,524
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,138414,154,276823,49,62127,228,415237
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,153,161,350,38,56,233,503
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,157,141,325,37,57,209,482
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,209465,154,418929,49,29924,228,628394
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,152,161,343,38,55,233,495
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,150,141,311,37,54,209,461
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,225704,154,451403,48,32244,228,677107
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,159,161,359,37,56,232,518
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,155,141,322,37,57,210,477
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,146373,154,292741,43,28182,229,439114
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,153,161,351,38,60,233,504
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,151,141,319,37,55,209,470
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,190817,154,381633,44,27260,228,572450
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,151,161,342,38,57,232,493
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,144,141,302,37,54,210,446
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,129308,154,258615,46,33057,228,387923
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,158,161,359,38,54,232,517
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,150,141,313,37,53,210,463
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,107481,154,214957,51,39293,228,322438
"random_keys_insertion_and_deletion_inserts",70000,"Splay",71,152,161,344,38,54,233,496
"random_keys_insertion_and_deletion_deletes",70000,"Splay",68,163,141,337,37,56,210,500
"ascending_keys_insertion_and_deletion_inserts",70000,"Splay",4,4,9,9,35001,70000,13,13
"ascending_keys_insertion_and_deletion_deletes",70000,"Splay",74,171518,154,343035,43,24503,229,514553
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,159,164,357,38,55,236,516
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,159,143,331,38,55,213,488
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,232858,156,465711,49,33266,231,698569
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,172,164,392,38,62,236,564
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,155,143,321,38,55,212,476
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,162824,156,325648,44,49071,231,488472
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,167,164,383,38,54,236,550
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,152,143,318,38,56,212,470
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,185511,156,371021,47,26998,231,556532
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,158,164,359,38,55,236,517
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,171,143,350,38,56,212,521
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,138855,156,277705,47,40330,231,416560
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,160,164,368,38,54,236,528
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,149,143,312,38,56,212,461
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,276665,156,553329,44,39524,231,829994
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,167,164,381,38,57,236,548
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,155,143,325,38,54,213,480
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,118723,156,237441,52,46081,231,356164
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,160,164,368,38,56,236,528
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,152,143,316,38,56,213,468
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,108643,156,217281,50,48961,231,325924
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,159,164,359,38,57,236,518
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,170,143,349,38,56,212,519
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,206798,156,413595,47,29543,231,620393
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,159,164,359,38,60,236,518
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,180,143,373,38,57,213,553
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,118345,156,236685,48,79804,231,355030
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,160,163,366,38,57,236,526
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,156,143,326,38,58,213,482
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,110366,156,220732,50,57055,231,331098
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,152,164,343,38,53,236,495
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,162,143,340,38,56,213,502
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,92809,156,185613,49,71863,231,278422
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,158,164,358,38,58,236,516
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,158,143,333,38,56,212,491
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,151686,156,303367,50,65521,231,455053
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,159,164,359,38,58,236,518
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,158,143,329,38,55,213,487
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,90717,156,181433,45,63411,231,272150
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,166,164,373,38,57,236,539
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,165,143,342,38,55,213,507
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,122594,156,245184,50,49169,231,367778
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,166,164,375,38,56,236,541
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,158,143,330,38,56,213,488
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,221652,156,443303,50,31665,231,664955
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,158,164,360,38,58,236,518
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,162,143,338,38,55,212,500
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,239992,156,479983,46,34285,231,719975
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,153,164,351,38,57,236,504
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,158,143,327,38,56,212,485
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,136097,156,272189,52,41118,231,408286
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,165,164,373,38,56,236,538
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,157,143,325,38,58,212,481
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,160996,156,321987,49,34005,232,482983
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,152,163,343,38,60,236,495
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,158,143,328,38,55,212,486
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,101531,156,203057,50,50994,231,304588
"random_keys_insertion_and_deletion_inserts",80000,"Splay",72,159,164,358,38,54,236,517
"random_keys_insertion_and_deletion_deletes",80000,"Splay",69,156,143,322,38,56,213,478
"ascending_keys_insertion_and_deletion_inserts",80000,"Splay",4,4,9,9,40001,80000,13,13
"ascending_keys_insertion_and_deletion_deletes",80000,"Splay",75,152638,156,305271,53,36397,231,457909
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,158,166,358,39,56,239,516
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,164,145,341,38,58,215,505
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,161872,158,323744,51,56477,234,485616
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,159,166,359,39,55,239,518
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,157,145,330,38,55,215,487
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,184656,158,369307,45,37245,234,553963
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,159,166,359,39,56,239,518
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,170,145,353,38,58,215,523
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,213497,158,426993,50,30503,234,640490
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,166,165,375,39,55,238,541
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,150,145,312,38,56,215,462
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,146857,158,293713,52,48044,234,440570
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,160,166,368,39,55,239,528
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,157,145,324,38,56,215,481
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,164476,158,328951,48,43008,234,493427
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,160,166,366,39,56,239,526
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,152,145,319,38,56,215,471
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,116567,157,233129,50,70682,234,349696
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,165,166,374,39,57,239,539
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,157,145,325,38,55,215,482
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,186162,157,372324,56,85861,234,558486
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,159,166,359,39,55,239,517
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,156,145,327,38,56,215,483
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,214022,158,428043,46,30575,234,642065
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,161,165,368,39,55,239,529
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,156,145,323,38,56,215,478
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,283560,158,567119,46,40509,234,850679
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,174,166,398,39,56,239,572
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,157,145,330,38,57,215,487
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,202409,158,404817,46,89110,234,607226
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,166,166,373,39,56,239,539
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,164,145,338,38,57,215,502
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,274956,158,549907,53,84372,234,824863
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,179,166,406,39,61,239,585
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,155,145,322,38,56,215,477
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,168150,158,336295,47,41960,234,504445
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,158,165,360,39,56,239,518
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,158,145,329,38,55,215,487
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,277582,158,555163,45,39655,234,832745
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,158,166,357,39,56,239,515
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,171,145,358,38,57,215,529
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,281998,158,563991,44,40286,234,845989
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,160,166,367,39,59,239,527
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,157,145,328,38,57,215,485
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,210655,158,421309,50,30094,234,631964
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,160,166,368,39,59,239,528
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,156,145,325,38,57,215,481
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,314625,158,629245,46,44947,234,943870
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,165,166,373,39,59,239,538
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,155,145,320,38,59,215,472
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,181555,158,363105,44,38129,234,544660
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,160,165,366,39,57,239,526
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,156,145,321,38,57,215,477
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,236463,158,472921,49,33781,234,709384
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,158,165,359,39,57,239,517
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,156,145,325,38,57,215,481
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,137043,158,274086,47,64145,234,411129
"random_keys_insertion_and_deletion_inserts",90000,"Splay",73,166,166,375,39,54,239,541
"random_keys_insertion_and_deletion_deletes",90000,"Splay",70,159,145,330,38,59,215,489
"ascending_keys_insertion_and_deletion_inserts",90000,"Splay",4,4,9,9,45001,90000,13,13
"ascending_keys_insertion_and_deletion_deletes",90000,"Splay",76,153569,158,307133,45,46125,234,460702
"random_keys_insertion_and_deletion_inserts",100000,"Splay",73,167,167,383,39,58,241,550
"random_keys_insertion_and_deletion_deletes",100000,"Splay",71,156,147,321,39,56,218,477
"ascending_keys_insertion_and_deletion_inserts",100000,"Splay",4,4,9,9,50001,100000,13,13
"ascending_keys_insertion_and_deletion_deletes",100000,"Splay",77,273976,159,547947,44,39142,237,821923
"random_keys_insertion_and_deletion_inserts",100000,"Splay",73,168,167,382,39,57,241,550
"random_keys_insertion_and_deletion_deletes",100000,"Splay",71,156,147,327,39,55,218,483
"ascending_keys_insertion_and_deletion_inserts",100000,"Splay",4,4,9,9,50001,100000,13,13
"ascending_keys_insertion_and_deletion_deletes",100000,"Splay",77,198285,159,396565,48,43349,237,594850
"random_keys_insertion_and_deletion_inserts",100000,"Splay",73,161,167,367,39,56,241,528
"random_keys_insertion_and_deletion_deletes",100000,"Splay",71,158,147,333,39,59,218,490
"ascending_keys_insertion_and_deletion_inserts",100000,"Splay",4,4,9,9,50001,100000,13,13
"ascending_keys_insertion_and_deletion_deletes",100000,"Splay",77,277337,159,554673,47,39620,236,832010
"random_keys_insertion_and_deletion_inserts",100000,"Splay",73,160,167,367,39,57,241,527
"random_keys_insertion_and_deletion_deletes",100000,"Splay",70,156,146,323,39,57,217,479
