n,p,rep,rounds
600,0.5,29,9
600,0.5,30,12
600,0.5,31,9
600,0.5,32,11
600,0.5,33,11
600,0.5,34,9
600,0.5,35,10
600,0.5,36,11
600,0.5,37,11
600,0.5,38,9
600,0.5,39,11
600,0.5,40,8
600,0.5,41,11
600,0.5,42,11
600,0.5,43,10
600,0.5,44,12
600,0.5,45,9
600,0.5,46,13
600,0.5,47,12
600,0.5,48,10
600,0.5,49,10
600,0.5,50,12
700,0.5,1,9
700,0.5,2,8
700,0.5,3,10
700,0.5,4,8
700,0.5,5,11
700,0.5,6,10
700,0.5,7,11
700,0.5,8,13
700,0.5,9,11
700,0.5,10,11
700,0.5,11,11
700,0.5,12,10
700,0.5,13,9
700,0.5,14,11
700,0.5,15,10
700,0.5,16,10
700,0.5,17,12
700,0.5,18,15
700,0.5,19,9
700,0.5,20,9
700,0.5,21,9
700,0.5,22,11
700,0.5,23,8
700,0.5,24,14
700,0.5,25,14
700,0.5,26,10
700,0.5,27,10
700,0.5,28,10
700,0.5,29,9
700,0.5,30,14
700,0.5,31,11
700,0.5,32,10
700,0.5,33,19
700,0.5,34,11
700,0.5,35,9
700,0.5,36,9
700,0.5,37,11
700,0.5,38,9
700,0.5,39,10
700,0.5,40,16
700,0.5,41,9
700,0.5,42,9
700,0.5,43,11
700,0.5,44,11
700,0.5,45,11
700,0.5,46,13
700,0.5,47,9
700,0.5,48,12
700,0.5,49,10
700,0.5,50,15
800,0.5,1,8
800,0.5,2,9
800,0.5,3,16
800,0.5,4,10
800,0.5,5,9
800,0.5,6,13
800,0.5,7,10
800,0.5,8,9
800,0.5,9,9
800,0.5,10,9
800,0.5,11,15
800,0.5,12,11
800,0.5,13,8
800,0.5,14,17
800,0.5,15,9
800,0.5,16,11
800,0.5,17,12
800,0.5,18,10
800,0.5,19,8
800,0.5,20,10
800,0.5,21,10
800,0.5,22,18
800,0.5,23,13
800,0.5,24,12
800,0.5,25,13
800,0.5,26,10
800,0.5,27,9
800,0.5,28,10
800,0.5,29,10
800,0.5,30,21
800,0.5,31,8
800,0.5,32,9
800,0.5,33,12
800,0.5,34,14
800,0.5,35,9
800,0.5,36,11
800,0.5,37,12
800,0.5,38,12
800,0.5,39,10
800,0.5,40,8
800,0.5,41,10
800,0.5,42,10
800,0.5,43,15
800,0.5,44,9
800,0.5,45,9
800,0.5,46,11
800,0.5,47,11
800,0.5,48,12
800,0.5,49,10
800,0.5,50,10
900,0.5,1,13
900,0.5,2,11
900,0.5,3,14
900,0.5,4,9
900,0.5,5,10
900,0.5,6,14
900,0.5,7,9
900,0.5,8,19
900,0.5,9,10
900,0.5,10,10
900,0.5,11,13
900,0.5,12,11
900,0.5,13,14
900,0.5,14,13
900,0.5,15,10
900,0.5,16,8
900,0.5,17,11
900,0.5,18,11
900,0.5,19,11
900,0.5,20,13
900,0.5,21,11
900,0.5,22,12
900,0.5,23,12
900,0.5,24,10
900,0.5,25,12
900,0.5,26,10
900,0.5,27,10
900,0.5,28,12
900,0.5,29,9
900,0.5,30,10
900,0.5,31,9
900,0.5,32,13
900,0.5,33,15
900,0.5,34,10
900,0.5,35,13
900,0.5,36,13
900,0.5,37,13
900,0.5,38,11
900,0.5,39,11
900,0.5,40,11
900,0.5,41,11
900,0.5,42,9
900,0.5,43,12
900,0.5,44,12
900,0.5,45,12
900,0.5,46,12
900,0.5,47,10
900,0.5,48,10
900,0.5,49,11
900,0.5,50,13
1000,0.5,1,11
1000,0.5,2,9
1000,0.5,3,9
1000,0.5,4,10
1000,0.5,5,9
1000,0.5,6,14
1000,0.5,7,10
1000,0.5,8,12
1000,0.5,9,10
1000,0.5,10,12
1000,0.5,11,10
1000,0.5,12,12
1000,0.5,13,12
1000,0.5,14,16
1000,0.5,15,11
1000,0.5,16,13
1000,0.5,17,11
1000,0.5,18,12
1000,0.5,19,15
1000,0.5,20,11
1000,0.5,21,14
1000,0.5,22,15
1000,0.5,23,15
1000,0.5,24,15
1000,0.5,25,10
1000,0.5,26,10
1000,0.5,27,12
1000,0.5,28,9
1000,0.5,29,12
1000,0.5,30,14
1000,0.5,31,11
1000,0.5,32,9
1000,0.5,33,10
1000,0.5,34,13
1000,0.5,35,13
1000,0.5,36,13
1000,0.5,37,14
1000,0.5,38,11
1000,0.5,39,10
1000,0.5,40,10
1000,0.5,41,8
1000,0.5,42,11
1000,0.5,43,12
1000,0.5,44,15
1000,0.5,45,11
1000,0.5,46,14
1000,0.5,47,10
1000,0.5,48,14
1000,0.5,49,11
1000,0.5,50,11
1100,0.5,1,10
1100,0.5,2,11
1100,0.5,3,10
1100,0.5,4,13
1100,0.5,5,9
1100,0.5,6,11
1100,0.5,7,11
1100,0.5,8,14
1100,0.5,9,10
1100,0.5,10,10
1100,0.5,11,12
1100,0.5,12,10
1100,0.5,13,11
1100,0.5,14,13
1100,0.5,15,11
1100,0.5,16,10
1100,0.5,17,12
1100,0.5,18,13
1100,0.5,19,10
1100,0.5,20,11
1100,0.5,21,12
1100,0.5,22,11
1100,0.5,23,12
1100,0.5,24,11
1100,0.5,25,11
1100,0.5,26,13
1100,0.5,27,10
1100,0.5,28,11
1100,0.5,29,11
1100,0.5,30,10
1100,0.5,31,10
1100,0.5,32,10
1100,0.5,33,10
1100,0.5,34,9
1100,0.5,35,10
1100,0.5,36,11
1100,0.5,37,9
1100,0.5,38,13
1100,0.5,39,12
1100,0.5,40,10
1100,0.5,41,10
1100,0.5,42,11
1100,0.5,43,12
1100,0.5,44,11
1100,0.5,45,11
1100,0.5,46,13
1100,0.5,47,17
1100,0.5,48,13
1100,0.5,49,11
1100,0.5,50,12
1200,0.5,1,12
1200,0.5,2,13
1200,0.5,3,11
1200,0.5,4,10
1200,0.5,5,14
1200,0.5,6,12
1200,0.5,7,10
1200,0.5,8,14
1200,0.5,9,16
1200,0.5,10,13
1200,0.5,11,11
1200,0.5,12,10
1200,0.5,13,17
1200,0.5,14,10
1200,0.5,15,11
1200,0.5,16,13
1200,0.5,17,12
1200,0.5,18,10
1200,0.5,19,9
1200,0.5,20,10
1200,0.5,21,9
1200,0.5,22,16
1200,0.5,23,11
1200,0.5,24,10
1200,0.5,25,12
1200,0.5,26,10
1200,0.5,27,12
1200,0.5,28,9
1200,0.5,29,12
1200,0.5,30,10
1200,0.5,31,9
1200,0.5,32,11
1200,0.5,33,11
1200,0.5,34,11
